"user_id","rec_anime_id"
"1","6465, 3196, 14685"
"2","8097, 2525, 2736"
"3","1924, 9487, 1481"
"5","2682, 30531, 31491"
"7","305, 1925, 1923"
"8","2688, 29413, 30128"
"9","5753, 3854, 2648"
"10","3437, 1493, 1924"
"11","305, 7303, 1839"
"12","10263, 1924, 1153"
"14","2947, 3239, 5830"
"15","13993, 927, 4503"
"16","5753, 2736, 10766"
"17","4388, 31050, 1792"
"18","1623, 2818, 1534"
"19","10263, 17249, 1792"
"20","7303, 1924, 1481"
"21","1853, 1014, 305"
"22","17745, 14647, 33221"
"23","3486, 602, 1853"
"24","2284, 1153, 16608"
"25","1153, 3381, 1839"
"26","2688, 3259, 6422"
"27","1558, 2484, 305"
"28","10263, 2284, 1792"
"29","33221, 3625, 599"
"30","10263, 1839, 2200"
"31","2269, 3854, 2747"
"32","3129, 1853, 305"
"33","3437, 8097, 1493"
"34","5877, 4388, 22695"
"36","708, 2947, 5753"
"37","31050, 1558, 1224"
"38","1558, 3105, 4388"
"39","4503, 3003, 3095"
"40","1399, 1534, 34085"
"41","32034, 9494, 31050"
"42","1493, 6293, 7045"
"43","7435, 7436, 10263"
"44","1558, 3105, 1925"
"45","10263, 1792, 1925"
"47","112, 2858, 6511"
"48","2284, 1224, 3254"
"50","1853, 2818, 5753"
"51","1853, 3704, 25431"
"52","23423, 4042, 6465"
"53","31050, 1224, 1623"
"55","832, 5763, 4416"
"56","2284, 9487, 15839"
"57","2284, 305, 3704"
"59","22695, 1153, 8245"
"60","10263, 1792, 1925"
"61","10263, 3437, 10534"
"62","1906, 3806, 1534"
"63","5753, 2269, 1906"
"64","22695, 1399, 1792"
"66","3826, 1558, 3105"
"67","1399, 31050, 1224"
"68","4084, 3095, 2920"
"69","8097, 9328, 7303"
"70","8097, 1493, 21575"
"71","3095, 3704, 4503"
"72","10263, 2284, 1792"
"73","1759, 3072, 1652"
"74","17745, 1792, 3806"
"75","602, 2291, 7303"
"76","2284, 7303, 295"
"77","8358, 1924, 1481"
"78","9875, 1957, 752"
"79","3625, 1925, 1923"
"80","4388, 2291, 6465"
"81","1558, 3105, 7303"
"82","3437, 1493, 1924"
"83","3727, 1539, 4513"
"84","33221, 1558, 3105"
"85","1792, 1153, 6509"
"86","10263, 3437, 1493"
"88","1925, 1923, 3072"
"90","8245, 22013, 23115"
"91","12585, 10375, 2506"
"92","5753, 21575, 8245"
"93","1792, 10810, 30364"
"94","31050, 1179, 2818"
"95","9629, 347, 4388"
"96","8097, 832, 13993"
"97","5753, 1623, 1534"
"98","1558, 31490, 1524"
"99","1558, 3105, 4388"
"100","3196, 3854, 2747"
"101","8097, 832, 2284"
"102","3254, 12361, 2284"
"103","3019, 3625, 3381"
"104","32034, 9494, 33221"
"105","10263, 4503, 1839"
"106","3437, 832, 930"
"107","3704, 5877, 1623"
"108","1623, 3259, 305"
"109","602, 1900, 3486"
"110","1481, 3072, 1759"
"111","1880, 3437, 1925"
"112","999, 5684, 1853"
"113","1399, 29413, 30128"
"114","708, 5267, 21703"
"115","3868, 3072, 2527"
"116","30243, 832, 7303"
"117","1924, 2920, 1481"
"118","1924, 1481, 1759"
"119","2390, 20871, 1567"
"120","3868, 2110, 294"
"121","1014, 3006, 24273"
"122","305, 1221, 10693"
"123","3625, 12347, 1145"
"124","1924, 2920, 1481"
"125","10457, 21597, 23299"
"126","5763, 1560, 693"
"127","3776, 2574, 9487"
"128","1925, 1923, 2072"
"129","31117, 1186, 311"
"130","16608, 1399, 599"
"131","708, 21703, 16419"
"132","5753, 2269, 28961"
"134","12725, 17249, 2284"
"135","5753, 1558, 1224"
"136","22695, 1153, 30531"
"137","3826, 1558, 3105"
"138","17745, 14647, 33221"
"139","693, 2291, 1558"
"140","33221, 1014, 1534"
"141","1853, 31491, 33221"
"142","10263, 1925, 1923"
"144","3437, 3826, 1558"
"145","2709, 2648, 12585"
"146","5753, 31050, 1558"
"147","7303, 305, 1853"
"148","3776, 2574, 9487"
"149","1924, 1481, 1853"
"150","1924, 2920, 1481"
"152","1925, 1923, 1558"
"154","5753, 2284, 21575"
"155","5753, 7303, 930"
"156","7303, 311, 8358"
"158","1925, 1923, 13619"
"159","3486, 602, 1792"
"160","1853, 1658, 23777"
"161","7303, 1924, 22695"
"163","1399, 693, 5763"
"164","11717, 14543, 2390"
"165","3129, 1853, 305"
"166","10457, 21597, 978"
"167","3019, 1481, 24273"
"168","1481, 31050, 1839"
"170","5753, 31050, 1558"
"171","10263, 4503, 1228"
"172","2947, 2106, 13993"
"173","4566, 5753, 311"
"174","12725, 2390, 31592"
"175","3437, 2284, 2747"
"177","2291, 5877, 1925"
"178","5753, 17249, 1924"
"179","1925, 1923, 4503"
"180","2736, 1924, 33221"
"181","5753, 3868, 33221"
"182","17745, 1153, 1386"
"183","16442, 2294, 1658"
"184","31050, 5753, 2284"
"185","305, 32574, 1442"
"186","6465, 3437, 5753"
"187","14685, 23299, 9487"
"189","5763, 693, 2291"
"190","10263, 31050, 31117"
"191","1925, 1923, 1558"
"192","9328, 1792, 2527"
"193","10263, 3437, 17249"
"194","10263, 1925, 1923"
"197","10263, 2284, 1792"
"198","10391, 13145, 10691"
"199","5753, 21575, 8245"
"200","693, 2291, 978"
"201","10766, 1794, 1795"
"202","9487, 15839, 4388"
"203","3437, 1493, 1924"
"204","2269, 1906, 3227"
"205","2525, 21575, 13245"
"206","3437, 3196, 22695"
"208","7861, 3507, 1460"
"209","5753, 3868, 1924"
"210","3776, 2574, 1558"
"211","2269, 3625, 28961"
"212","13993, 8245, 30745"
"213","1481, 2036, 3704"
"214","2284, 1153, 26019"
"215","1924, 1481, 2036"
"216","1792, 27613, 2920"
"217","1906, 28495, 24273"
"218","1493, 2525, 21575"
"219","3776, 28511, 14947"
"222","10263, 22695, 24273"
"223","2162, 752, 1456"
"224","10263, 3437, 17249"
"225","12725, 17249, 7303"
"226","1221, 1186, 21867"
"227","2269, 10534, 1929"
"228","31050, 5753, 295"
"229","1493, 2525, 21575"
"230","3019, 3868, 2322"
"231","1924, 1481, 3072"
"232","10263, 1573, 4566"
"233","1524, 31050, 2858"
"234","10263, 3437, 8097"
"235","4084, 3095, 3023"
"236","5753, 3868, 295"
"238","3437, 1493, 3196"
"241","10263, 1924, 1792"
"242","5753, 1611, 12725"
"243","1493, 3196, 1924"
"244","1925, 1923, 4503"
"245","33221, 5753, 3868"
"246","29413, 30128, 1224"
"247","3605, 2535, 1221"
"248","331, 1442, 2745"
"249","1792, 4503, 1839"
"250","1925, 1923, 2858"
"251","9487, 31491, 15839"
"252","3776, 2574, 4388"
"253","5753, 3868, 3854"
"254","7303, 2747, 1153"
"255","1153, 8245, 6465"
"256","6741, 86, 311"
"257","7303, 3129, 2506"
"258","33221, 10766, 2484"
"259","3019, 1792, 1794"
"260","31763, 26019, 25431"
"261","86, 4566, 1707"
"262","1186, 7861, 971"
"263","1153, 1224, 1228"
"264","5753, 3868, 3854"
"268","1224, 2484, 305"
"269","10263, 1925, 1923"
"270","22695, 31491, 4147"
"271","1759, 1228, 1145"
"272","1924, 1481, 1759"
"273","3381, 3511, 1839"
"275","1558, 3105, 30845"
"276","32122, 21867, 21899"
"277","2390, 311, 2570"
"278","2284, 2269, 3868"
"279","2920, 1481, 1759"
"280","5753, 1534, 1611"
"281","10263, 1924, 1481"
"282","86, 1707, 377"
"284","10263, 1924, 1925"
"286","10263, 1924, 1925"
"287","7303, 3868, 3854"
"288","1853, 1380, 33221"
"290","2390, 1221, 1573"
"291","1399, 693, 6511"
"292","2920, 2044, 4084"
"293","1925, 1923, 1853"
"294","28713, 3776, 2574"
"295","1623, 305, 1558"
"296","12671, 6050, 1186"
"298","1924, 2450, 1481"
"299","2284, 2709, 2747"
"301","311, 294, 4416"
"303","31763, 3868, 29831"
