"Id","SalePrice"
1461,120700
1462,154400
1463,182100
1464,187100
1465,185300
1466,182600
1467,168300
1468,174500
1469,184500
1470,126300
1471,190100
1472,96300
1473,94700
1474,152000
1475,145500
1476,369000
1477,248200
1478,315100
1479,302800
1480,435400
1481,320800
1482,204800
1483,172400
1484,167300
1485,175900
1486,197000
1487,338100
1488,239600
1489,205500
1490,196000
1491,194100
1492,104600
1493,178100
1494,293200
1495,277800
1496,231700
1497,181200
1498,155700
1499,154500
1500,155000
1501,171600
1502,156600
1503,269800
1504,230900
1505,222200
1506,189900
1507,215900
1508,190500
1509,167600
1510,151200
1511,151800
1512,172900
1513,140800
1514,149800
1515,174600
1516,163500
1517,154800
1518,129400
1519,219000
1520,139300
1521,145000
1522,158600
1523,117400
1524,124200
1525,125500
1526,125800
1527,105100
1528,132300
1529,142900
1530,166800
1531,141700
1532,106600
1533,142900
1534,114100
1535,148400
1536,121100
1537,76300
1538,150700
1539,196900
1540,120000
1541,147600
1542,143900
1543,225400
1544,93800
1545,99500
1546,116400
1547,142800
1548,136800
1549,112300
1550,142900
1551,118900
1552,142400
1553,141900
1554,120100
1555,171700
1556,110600
1557,129700
1558,98500
1559,151200
1560,154400
1561,155000
1562,127300
1563,126000
1564,160400
1565,158200
1566,213500
1567,94700
1568,218600
1569,138000
1570,124400
1571,133300
1572,152600
1573,230200
1574,129400
1575,207100
1576,213100
1577,204200
1578,154700
1579,142700
1580,189300
1581,140500
1582,131600
1583,318400
1584,238000
1585,139300
1586,73100
1587,103200
1588,152000
1589,108600
1590,131500
1591,107400
1592,146300
1593,118200
1594,169000
1595,140200
1596,250000
1597,175000
1598,190600
1599,168400
1600,178500
1601,60200
1602,104600
1603,87000
1604,289800
1605,252700
1606,168300
1607,163900
1608,213700
1609,199400
1610,167500
1611,154800
1612,180900
1613,163100
1614,123100
1615,88600
1616,82500
1617,88100
1618,124500
1619,130500
1620,159700
1621,125900
1622,157900
1623,270400
1624,208700
1625,120600
1626,167100
1627,183100
1628,265700
1629,174800
1630,328500
1631,204400
1632,266000
1633,173800
1634,182900
1635,176700
1636,157600
1637,191000
1638,207700
1639,183900
1640,254600
1641,186100
1642,228400
1643,232400
1644,221500
1645,188500
1646,156000
1647,162800
1648,143000
1649,140100
1650,121200
1651,123900
1652,95900
1653,99400
1654,158200
1655,154200
1656,149300
1657,155100
1658,155500
1659,143000
1660,138700
1661,427300
1662,369500
1663,377700
1664,446100
1665,324200
1666,316300
1667,359800
1668,338100
1669,291500
1670,344900
1671,254600
1672,416200
1673,292000
1674,250700
1675,191600
1676,191800
1677,218200
1678,436700
1679,396100
1680,326500
1681,194200
1682,314900
1683,193400
1684,176100
1685,174700
1686,173900
1687,171700
1688,188400
1689,188900
1690,184600
1691,178200
1692,273500
1693,173400
1694,179800
1695,170100
1696,275800
1697,170500
1698,335800
1699,334000
1700,243600
1701,262100
1702,257200
1703,252200
1704,274300
1705,216700
1706,415500
1707,219000
1708,214500
1709,252600
1710,206400
1711,270600
1712,258900
1713,261800
1714,235300
1715,203500
1716,179700
1717,170800
1718,145500
1719,208100
1720,243400
1721,166300
1722,135300
1723,153200
1724,211500
1725,229500
1726,191700
1727,167800
1728,191900
1729,163700
1730,167100
1731,125400
1732,130000
1733,118300
1734,129900
1735,134400
1736,116600
1737,336900
1738,217900
1739,295400
1740,194800
1741,175600
1742,170900
1743,175900
1744,296300
1745,265200
1746,239200
1747,211800
1748,213500
1749,165100
1750,147200
1751,235300
1752,114600
1753,147400
1754,209400
1755,167500
1756,125300
1757,119400
1758,150100
1759,162600
1760,160200
1761,142500
1762,181100
1763,170200
1764,119400
1765,163400
1766,167200
1767,183100
1768,142600
1769,173900
1770,139500
1771,137700
1772,151200
1773,142300
1774,133700
1775,132700
1776,119800
1777,116500
1778,133400
1779,124500
1780,184700
1781,137300
1782,71600
1783,131200
1784,94700
1785,120100
1786,147600
1787,158000
1788,69400
1789,100800
1790,72100
1791,171400
1792,157200
1793,142800
1794,142300
1795,139000
1796,122200
1797,116600
1798,131200
1799,119200
1800,129400
1801,133200
1802,148300
1803,150600
1804,141300
1805,136300
1806,114900
1807,137700
1808,116500
1809,125900
1810,145300
1811,118400
1812,118400
1813,115000
1814,95300
1815,64100
1816,97700
1817,124800
1818,133500
1819,112000
1820,77200
1821,124300
1822,148000
1823,70100
1824,138400
1825,140300
1826,102100
1827,107300
1828,138600
1829,117000
1830,135000
1831,164700
1832,117600
1833,147800
1834,135300
1835,171500
1836,129900
1837,103400
1838,139700
1839,97800
1840,164800
1841,153600
1842,95900
1843,137300
1844,140700
1845,143400
1846,150600
1847,159000
1848,68000
1849,137100
1850,129300
1851,157600
1852,132900
1853,138200
1854,167000
1855,139500
1856,234400
1857,195400
1858,157800
1859,144100
1860,151100
1861,143800
1862,308200
1863,304600
1864,304600
1865,322500
1866,335400
1867,232600
1868,280200
1869,195100
1870,219800
1871,257800
1872,171700
1873,232200
1874,134600
1875,202500
1876,194900
1877,197400
1878,213000
1879,132700
1880,137500
1881,243200
1882,253800
1883,197600
1884,212300
1885,228800
1886,281100
1887,196300
1888,253400
1889,164700
1890,140200
1891,142400
1892,107500
1893,138900
1894,123200
1895,147400
1896,122700
1897,116500
1898,110500
1899,130900
1900,151000
1901,170000
1902,145900
1903,231600
1904,136500
1905,184500
1906,156600
1907,189500
1908,104500
1909,129800
1910,119800
1911,187700
1912,301100
1913,159700
1914,73500
1915,329000
1916,73700
1917,258100
1918,130400
1919,155800
1920,174000
1921,390000
1922,327100
1923,200200
1924,236700
