"Id","SalePrice"
1461,117300
1462,153000
1463,186200
1464,192400
1465,183500
1466,180600
1467,176600
1468,171900
1469,186800
1470,125400
1471,195700
1472,87900
1473,92700
1474,152800
1475,115000
1476,375700
1477,251900
1478,266400
1479,286200
1480,495000
1481,328800
1482,200200
1483,181300
1484,169400
1485,163200
1486,193800
1487,335000
1488,225100
1489,203400
1490,227300
1491,191800
1492,89700
1493,172700
1494,285500
1495,272900
1496,248400
1497,193000
1498,158500
1499,157100
1500,157600
1501,179200
1502,142900
1503,282100
1504,224000
1505,226500
1506,181800
1507,255900
1508,199000
1509,165700
1510,151600
1511,149000
1512,166900
1513,124900
1514,152100
1515,216100
1516,153800
1517,161400
1518,127800
1519,228300
1520,145200
1521,144600
1522,160900
1523,112300
1524,122600
1525,124100
1526,113300
1527,107800
1528,131300
1529,149700
1530,168000
1531,106300
1532,93200
1533,149100
1534,119700
1535,163200
1536,104900
1537,91800
1538,137300
1539,173500
1540,106300
1541,141900
1542,138100
1543,223800
1544,73700
1545,97100
1546,119900
1547,123600
1548,127000
1549,108000
1550,143700
1551,113300
1552,135700
1553,134800
1554,109900
1555,157700
1556,95300
1557,107900
1558,92300
1559,98500
1560,146100
1561,150600
1562,133500
1563,120700
1564,165800
1565,152600
1566,222000
1567,78700
1568,224300
1569,150700
1570,131800
1571,133600
1572,148500
1573,247900
1574,127600
1575,219200
1576,251500
1577,197300
1578,136800
1579,155700
1580,189600
1581,133600
1582,127300
1583,336700
1584,232300
1585,141800
1586,74700
1587,89800
1588,150500
1589,92500
1590,135200
1591,95600
1592,133200
1593,117000
1594,116200
1595,128400
1596,234500
1597,176100
1598,192200
1599,168300
1600,170800
1601,64900
1602,115000
1603,86300
1604,274600
1605,238600
1606,169400
1607,161600
1608,214900
1609,191400
1610,164900
1611,139100
1612,181000
1613,171100
1614,130800
1615,83600
1616,75600
1617,86600
1618,129300
1619,136700
1620,184700
1621,151100
1622,147200
1623,283700
1624,235300
1625,120700
1626,161800
1627,187600
1628,278200
1629,178700
1630,351700
1631,197700
1632,232800
1633,159400
1634,189800
1635,182000
1636,159700
1637,187400
1638,181200
1639,181700
1640,266000
1641,177500
1642,220600
1643,222800
1644,216600
1645,198600
1646,154700
1647,156200
1648,139800
1649,141000
1650,110000
1651,128200
1652,90000
1653,87800
1654,156600
1655,141700
1656,147400
1657,152900
1658,156300
1659,120300
1660,157600
1661,461600
1662,378400
1663,400300
1664,449000
1665,299300
1666,340400
1667,403500
1668,340900
1669,272700
1670,357200
1671,281000
1672,437000
1673,310600
1674,245200
1675,196900
1676,198000
1677,211900
1678,419200
1679,404500
1680,313500
1681,216600
1682,316100
1683,180200
1684,167800
1685,176400
1686,172400
1687,158400
1688,188400
1689,188700
1690,187800
1691,172200
1692,252700
1693,161400
1694,178300
1695,165500
1696,277000
1697,172100
1698,386700
1699,327900
1700,247800
1701,254800
1702,262800
1703,249600
1704,317800
1705,217000
1706,414400
1707,219200
1708,207400
1709,246000
1710,218100
1711,242700
1712,268200
1713,301100
1714,222800
1715,201400
1716,194900
1717,165400
1718,133900
1719,206800
1720,236900
1721,159600
1722,127200
1723,160900
1724,228200
1725,232600
1726,198500
1727,175700
1728,177800
1729,177800
1730,167500
1731,120600
1732,125900
1733,118400
1734,117800
1735,130500
1736,115700
1737,290100
1738,216700
1739,292600
1740,258500
1741,207600
1742,178300
1743,177000
1744,291100
1745,192800
1746,175200
1747,211400
1748,230800
1749,158000
1750,126300
1751,230000
1752,121900
1753,139400
1754,184200
1755,166500
1756,128700
1757,123900
1758,149100
1759,153500
1760,164000
1761,137800
1762,188500
1763,184900
1764,118400
1765,166800
1766,172600
1767,207800
1768,151200
1769,166700
1770,141200
1771,130100
1772,131800
1773,127000
1774,137000
1775,140300
1776,117500
1777,104800
1778,140600
1779,109500
1780,177900
1781,132900
1782,103800
1783,147100
1784,95600
1785,111300
1786,147000
1787,151300
1788,62700
1789,101900
1790,86900
1791,180400
1792,149800
1793,137200
1794,143900
1795,137700
1796,127000
1797,115700
1798,127200
1799,112300
1800,130400
1801,133500
1802,139300
1803,144900
1804,147600
1805,140200
1806,119500
1807,125400
1808,105500
1809,112800
1810,156200
1811,107600
1812,95700
1813,126500
1814,80300
1815,58600
1816,82600
1817,110900
1818,133600
1819,130200
1820,69800
1821,114700
1822,156700
1823,53900
1824,144400
1825,142400
1826,106800
1827,107700
1828,140100
1829,94100
1830,125100
1831,126200
1832,99400
1833,139900
1834,128700
1835,117500
1836,125700
1837,79600
1838,123700
1839,83200
1840,146600
1841,137200
1842,89100
1843,131000
1844,137900
1845,136400
1846,152500
1847,159900
1848,57900
1849,101900
1850,115700
1851,159000
1852,123800
1853,138900
1854,159300
1855,138700
1856,219300
1857,168100
1858,128800
1859,118400
1860,138000
1861,118000
1862,303100
1863,286800
1864,286800
1865,309900
1866,354500
1867,234700
1868,307100
1869,201200
1870,223300
1871,249500
1872,177600
1873,225300
1874,149500
1875,199700
1876,196500
1877,211500
1878,209600
1879,133500
1880,140400
1881,255900
1882,245100
1883,195100
1884,205600
1885,230900
1886,302100
1887,196600
1888,282600
1889,164500
1890,120700
1891,144600
1892,103400
1893,120400
1894,117600
1895,132100
1896,123800
1897,124400
1898,103900
1899,140200
1900,122300
1901,149300
1902,143700
1903,202100
1904,124600
1905,177800
1906,155400
1907,186500
1908,106300
1909,137900
1910,123700
1911,204300
1912,266900
1913,163400
1914,60800
1915,315300
1916,66300
1917,257100
1918,137300
1919,168600
1920,156600
1921,441800
1922,316200
1923,226600
1924,206000
1925,218600
1926,404000
1927,138400
1928,163500
1929,117600
1930,138100
1931,154500
1932,148300
1933,198100
1934,182700
1935,176300
1936,197900
1937,178700
1938,174400
1939,219600
1940,183400
1941,173800
1942,180100
1943,201800
1944,331000
1945,373000
1946,136600
1947,290300
1948,154200
1949,258800
1950,175800
1951,252600
1952,207300
1953,164500
1954,179700
1955,139900
1956,284300
1957,152400
1958,303000
1959,138400
1960,117800
1961,115300
1962,92500
1963,94900
1964,109500
1965,155600
1966,139900
1967,275900
1968,454000
1969,416300
1970,474000
1971,422600
1972,361000
1973,275800
1974,313100
1975,450900
1976,267400
1977,391900
1978,407100
1979,322300
1980,190700
1981,336500
1982,216900
1983,203500
1984,174900
1985,230300
1986,225200
1987,188600
1988,180800
1989,189600
1990,217700
1991,220500
1992,214200
1993,166100
1994,230400
1995,185200
1996,249900
1997,290800
1998,347800
1999,259600
2000,323800
2001,261500
2002,241000
2003,259500
2004,271400
2005,203900
2006,216000
2007,249500
2008,207600
2009,197600
2010,190900
2011,137100
2012,177600
2013,188500
2014,188600
2015,200700
2016,198800
2017,196200
2018,122200
2019,131000
2020,120000
2021,106900
2022,169800
2023,145800
2024,258200
2025,367400
2026,181000
2027,157100
2028,163500
2029,165500
2030,251500
2031,198600
2032,219400
2033,239800
2034,162400
2035,204200
2036,182500
2037,187500
2038,269400
2039,203600
2040,293700
2041,250000
2042,201000
2043,169100
2044,159500
2045,201300
2046,136900
2047,149300
2048,137900
2049,136200
2050,171500
2051,101900
2052,118000
2053,148300
2054,77300
2055,164200
2056,142500
2057,125800
2058,235100
2059,149900
2060,165300
2061,165900
2062,137100
2063,106400
2064,140500
2065,125300
2066,160000
2067,135700
2068,131000
2069,81000
2070,101900
2071,101400
2072,139800
2073,138300
2074,176300
2075,150500
2076,118000
2077,148700
2078,131000
2079,128200
2080,119900
2081,122900
2082,119200
2083,148700
2084,108700
2085,123500
2086,130200
2087,129300
2088,115400
2089,80700
2090,144400
2091,116900
2092,121800
2093,144400
2094,97100
2095,145400
2096,66300
2097,85400
2098,156200
2099,61500
2100,104400
2101,122600
2102,117700
2103,98100
2104,125000
2105,125100
2106,78900
2107,207600
2108,107000
2109,111600
2110,141100
2111,129100
2112,145300
2113,120400
2114,101700
2115,164100
2116,126500
2117,151400
2118,125000
2119,96800
2120,116000
2121,95100
2122,99800
2123,78200
2124,156100
2125,128500
2126,157300
2127,130800
2128,119700
2129,82700
2130,134200
2131,143000
2132,115900
2133,126300
2134,117400
2135,78900
2136,85400
2137,116800
2138,127300
2139,147400
2140,139500
2141,138200
2142,136900
2143,146600
2144,108600
2145,132400
2146,152200
2147,148700
2148,123900
2149,131700
2150,210000
2151,93900
2152,175700
2153,152200
2154,107800
2155,122600
2156,291100
2157,231500
2158,237700
2159,218900
2160,166500
2161,238100
2162,395300
